SUN2017,WIND2017
0,1285.31
0,1262.81
0,1238.39
0,1272.11
0,1278.99
0,1250.94
0,1231.51
0,1201.34
0,1198.77
0,1167.73
0,1103.77
0,1102.63
0,1054.67
0,1073.15
0,1097.36
0,1071.27
0,1096.06
0,1120.34
0,1135.07
0,1105.13
0,1085.99
0,1063.56
0,1091.49
0,1184.27
0.47,1193.38
17.28,1182.96
41.14,1208.36
74.26,1222.72
118.8,1171.85
170.08,1154.57
229.42,1174.15
299.84,1176.28
383.59,1201.05
491.09,1200.17
600.57,1204.39
713.3,1245.59
854.47,1255.07
940.02,1254.58
1010.88,1242.75
1105.72,1239.35
1139.05,1192.27
1149.34,1191.29
1171.03,1179.83
1158.15,1172.65
1096.09,1194.99
1068.94,1236.63
1091.82,1270.13
1188.92,1317.4
1192.26,1318.93
1235.28,1353.27
1113.62,1276.49
1112.04,1276.52
1138.58,1283.39
1078.06,1337.67
1061.71,1297.12
1065.52,1263.28
1091.31,1198.38
1045.06,1175.1
1000.76,1189.08
909.49,1289.67
950.82,1304.65
905.35,1294.81
920.88,1259.74
823.31,1192.01
748.85,1168.1
733.91,1178.4
697.89,1153.51
697.43,1156.91
636.51,1165.09
611.19,1129.71
605.05,1098.61
569.06,1038.94
547.77,1016.68
490.21,987.1
469.66,967.63
456.93,980.24
438.94,973.23
399.95,884.15
373.21,809.95
340.2,734.09
278.16,689.76
233.79,677.91
195.9,644.59
155.12,643.29
111.21,612.65
73.21,626.69
39.42,629.27
18.53,608.86
6.83,566.85
0.7,548.39
0,548.47
0,509.51
0,491.02
0,487.28
0,485.63
0,492.18
0,482.62
0,457.07
0,422.06
0,400.23
0,386.5
0,365.06
0,342.56
0,320.97
0,293.82
0,292.73
0,281.09
0,249.37
0,223.74
0,215.95
0,215.93
0,215.07
0,208.44
0,194.64
0,178.59
0,163.77
0,152.93
0,142.41
0,135.44
0,140.64
0.64,145.45
22.12,140.53
47.55,138.82
82.17,135.4
122.09,125.81
170.43,110.22
222.66,92.28
289.63,84.11
343.85,78.34
420.69,70.73
522.92,61.92
619.5,57.81
740.53,58.66
